Company,Chocolate_origin,Review_number,Review_year,Cocoa_percent,Company_location,Rating,Bean_type,Bean_origin,Cocoa_category,Rating_category
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85.0,USA,3.5,2,Venezuela,Deep Dark,Fair
Brazen,Elvesia P.,1514,2015,60.0,USA,3.0,6,Dominican Republic,Mild Mocha,Fair
Brazen,Elvesia P.,1514,2015,80.0,USA,3.25,6,Dominican Republic,Moderate Blend,Fair
Brazen,"Alta Verapaz, 2014",1514,2015,70.0,USA,3.5,6,Guatemala,Moderate Blend,Fair
Brazen,Ambolikapiky P.,1518,2015,80.0,USA,2.75,6,Madagascar,Moderate Blend,Fair
Brazen,Maya Mountain,1518,2015,80.0,USA,3.25,2,Belize,Moderate Blend,Fair
Brazen,Ambolikapkly P.,1518,2015,60.0,USA,3.25,6,Madagascar,Mild Mocha,Fair
Breeze Mill,Jamaica,1149,2013,70.0,USA,3.0,2,Jamaica,Moderate Blend,Fair
Bright,Somia Plantation,1231,2014,72.0,Australia,3.0,2,Madagascar,Moderate Blend,Fair
Bright,Marabel Farms,1231,2014,70.0,Australia,3.5,6,Dominican Republic,Moderate Blend,Fair
Bright,"Camino Verde, Balao, Guayas",1231,2014,72.0,Australia,3.5,6,Ecuador,Moderate Blend,Fair
Bright,Gran Couva,1235,2014,68.0,Australia,2.75,2,Trinidad,Mild Mocha,Fair
Britarev,Ecuador,1638,2015,70.0,Russia,3.25,6,Ecuador,Moderate Blend,Fair
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68.0,USA,2.75,6,Dominican Republic,Mild Mocha,Fair
Burnt Fork Bend,Trinidad,1299,2014,72.0,USA,3.25,2,Trinidad,Moderate Blend,Fair
Burnt Fork Bend,Mindo,1299,2014,72.0,USA,3.5,6,Ecuador,Moderate Blend,Fair
Burnt Fork Bend,Belize,1303,2014,72.0,USA,3.25,2,Belize,Moderate Blend,Fair
Burnt Fork Bend,Blend,1303,2014,72.0,USA,3.25,4,Unkown,Moderate Blend,Fair
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60.0,USA,2.5,6,Ecuador,Mild Mocha,Fair
Cacao Arabuco,Puerto Rico,1606,2015,70.0,Puerto Rico,2.5,6,Puerto Rico,Moderate Blend,Fair
Cacao Atlanta,Tumbes,1215,2014,75.0,USA,2.5,1,Peru,Moderate Blend,Fair
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75.0,USA,2.5,6,Dominican Republic,Moderate Blend,Fair
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75.0,USA,2.75,6,Dominican Republic,Moderate Blend,Fair
Cacao Atlanta,Patanemo,600,2010,75.0,USA,2.25,6,Venezuela,Moderate Blend,Poor
Cacao Barry,Grand 'Anse,1716,2016,65.0,France,3.5,4,Haiti,Mild Mocha,Fair
Cacao Barry,Santo Domingo,586,2010,70.0,France,3.0,6,Dominican Republic,Moderate Blend,Fair
Cacao Barry,Tanzania,300,2008,75.0,France,2.0,6,Tanzania,Moderate Blend,Poor
Cacao Barry,Venezuela,141,2007,72.0,France,2.0,6,Venezuela,Moderate Blend,Poor
Cacao Barry,Mexico,147,2007,66.0,France,3.0,6,Mexico,Mild Mocha,Fair
Cacao de Origen,Chuao,1688,2015,77.0,Venezuela,3.5,2,Venezuela,Moderate Blend,Fair
Cacao de Origen,Rio Caribe,1692,2015,75.0,Venezuela,3.25,2,Venezuela,Moderate Blend,Fair
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75.0,Venezuela,2.5,6,Venezuela,Moderate Blend,Fair
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74.0,Venezuela,3.25,6,Venezuela,Moderate Blend,Fair
Cacao de Origen,"Chuao, Aragua region",1391,2014,75.0,Venezuela,3.5,2,Venezuela,Moderate Blend,Fair
Cacao de Origen,"Chuao, Aragua region",1395,2014,70.0,Venezuela,3.75,2,Venezuela,Moderate Blend,Fair
Cacao de Origin,Hacienda la Trinidad,1668,2015,74.0,Venezuela,3.25,6,Venezuela,Moderate Blend,Fair
Cacao Hunters,Macondo,1816,2016,71.0,Colombia,3.75,6,Colombia,Moderate Blend,Fair
Cacao Hunters,Perla Negra,1816,2016,74.0,Colombia,3.75,6,Colombia,Moderate Blend,Fair
Cacao Hunters,Arhuacos,1662,2015,72.0,Colombia,3.75,6,Colombia,Moderate Blend,Fair
Cacao Hunters,Sierra Nevada,1430,2014,64.0,Colombia,3.5,6,Colombia,Mild Mocha,Fair
Cacao Hunters,Tumaco,1430,2014,70.0,Colombia,3.5,6,Colombia,Moderate Blend,Fair
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69.0,Colombia,2.75,6,Colombia,Mild Mocha,Fair
Cacao Hunters,Arauca,1434,2014,70.0,Colombia,3.25,6,Colombia,Moderate Blend,Fair
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70.0,USA,3.5,2,Honduras,Moderate Blend,Fair
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72.0,USA,3.75,1,Dominican Republic,Moderate Blend,Fair
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72.0,USA,3.0,6,Dominican Republic,Moderate Blend,Fair
Cacao Prieto,Dominican Republic,641,2011,66.0,USA,3.75,6,Dominican Republic,Mild Mocha,Fair
Cacao Prieto,"Dominican Republic, rustic",647,2011,65.0,USA,3.25,6,Dominican Republic,Mild Mocha,Fair
Cacao Sampaka,"Mahali, Kasai",1908,2016,70.0,Spain,3.5,1,Congo,Moderate Blend,Fair
Cacao Sampaka,Madagascar,508,2010,71.0,Spain,3.5,2,Madagascar,Moderate Blend,Fair
Cacao Sampaka,Ecuador,523,2010,71.0,Spain,3.75,6,Ecuador,Moderate Blend,Fair
Cacao Sampaka,Papua,523,2010,71.0,Spain,4.0,6,Papua New Guinea,Moderate Blend,Excellent
Cacao Sampaka,Grenada,537,2010,71.0,Spain,3.25,2,Grenada,Moderate Blend,Fair
Cacao Sampaka,Venezuela,537,2010,71.0,Spain,3.5,6,Venezuela,Moderate Blend,Fair
Cacao Sampaka,Venezuela,537,2010,77.0,Spain,3.5,6,Venezuela,Moderate Blend,Fair
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70.0,Spain,4.0,1,Mexico,Moderate Blend,Excellent
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70.0,Spain,4.0,1,Mexico,Moderate Blend,Excellent
Cacao Store,Madagascar,1684,2015,70.0,Japan,3.0,2,Madagascar,Moderate Blend,Fair
Cacao Store,Peru,1684,2015,70.0,Japan,3.25,6,Peru,Moderate Blend,Fair
Cacao Store,Vietnam,1684,2015,70.0,Japan,3.5,2,Vietnam,Moderate Blend,Fair
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70.0,Peru,3.25,6,Peru,Moderate Blend,Fair
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63.0,Ecuador,3.5,3,Ecuador,Mild Mocha,Fair
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71.0,Ecuador,3.5,3,Ecuador,Moderate Blend,Fair
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82.0,Ecuador,2.5,3,Ecuador,Deep Dark,Fair
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91.0,Ecuador,1.5,3,Ecuador,Deep Dark,Poor
Callebaut,Grenade,296,2008,60.0,Belgium,2.75,2,Grenada,Mild Mocha,Fair
Callebaut,Baking,141,2007,70.0,Belgium,1.0,6,Ecuador,Moderate Blend,Poor
C-Amaro,Cuba,1442,2014,75.0,Italy,2.5,6,Cuba,Moderate Blend,Fair
C-Amaro,Dominican Republic,1442,2014,72.0,Italy,3.0,6,Dominican Republic,Moderate Blend,Fair
C-Amaro,"Lago di Como, Blu",1442,2014,70.0,Italy,3.5,4,Unkown,Moderate Blend,Fair
C-Amaro,Ecuador,1185,2013,100.0,Italy,3.5,6,Ecuador,Deep Dark,Fair
C-Amaro,Venezuela,809,2012,80.0,Italy,3.0,6,Venezuela,Moderate Blend,Fair
C-Amaro,Sao Tome,749,2011,78.0,Italy,2.25,3,Sao Tome,Moderate Blend,Poor
C-Amaro,Trinidad,765,2011,70.0,Italy,2.5,2,Trinidad,Moderate Blend,Fair
Cao,Porcelana,1804,2016,75.0,USA,2.5,1,Venezuela,Moderate Blend,Fair
Cao,Tanzania,1804,2016,73.0,USA,2.75,6,Tanzania,Moderate Blend,Fair
Cao,"Porcelana, Batch 5163",1804,2016,70.0,USA,3.0,1,Venezuela,Moderate Blend,Fair
Cao,Bolivia,1808,2016,75.0,USA,3.0,6,Bolivia,Moderate Blend,Fair
Cao,Brazil,1808,2016,70.0,USA,3.25,2,Brazil,Moderate Blend,Fair
Caoni (Tulicorp),Esmeraldas,237,2008,77.0,Ecuador,2.0,3,Ecuador,Moderate Blend,Poor
Caoni (Tulicorp),Manabi,237,2008,77.0,Ecuador,2.5,3,Ecuador,Moderate Blend,Fair
Caoni (Tulicorp),Los Rios,245,2008,77.0,Ecuador,2.75,3,Ecuador,Moderate Blend,Fair
Caoni (Tulicorp),Manabi,266,2008,55.0,Ecuador,3.0,3,Ecuador,Mild Mocha,Fair
Caoni (Tulicorp),Los Rios,269,2008,55.0,Ecuador,3.25,3,Ecuador,Mild Mocha,Fair
Caoni (Tulicorp),Esmeraldas,269,2008,55.0,Ecuador,3.5,3,Ecuador,Mild Mocha,Fair
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70.0,New Zealand,3.5,2,Papua New Guinea,Moderate Blend,Fair
Captain Pembleton,Kulili Estate,1263,2014,70.0,New Zealand,3.75,6,Papua New Guinea,Moderate Blend,Fair
Caribeans,"Antigua, Special Reserve",1582,2015,72.0,Costa Rica,3.5,6,Guatemala,Moderate Blend,Fair
Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,72.0,Costa Rica,3.25,6,Costa Rica,Moderate Blend,Fair
Caribeans,Anselmo Paraiso Estate,1586,2015,72.0,Costa Rica,3.5,6,Costa Rica,Moderate Blend,Fair
Caribeans,Costa Rica,841,2012,72.0,Costa Rica,3.0,3,Costa Rica,Moderate Blend,Fair
Caribeans,Costa Rica,845,2012,80.0,Costa Rica,2.75,3,Costa Rica,Moderate Blend,Fair
Carlotta Chocolat,Arauca,1884,2016,65.0,Colombia,3.0,2,Colombia,Mild Mocha,Fair
Carlotta Chocolat,Tumaco,1888,2016,65.0,Colombia,3.25,2,Colombia,Mild Mocha,Fair
Carlotta Chocolat,Cordoba,1888,2016,65.0,Colombia,3.25,2,Colombia,Mild Mocha,Fair
Carlotta Chocolat,Huila,1888,2016,65.0,Colombia,3.5,2,Colombia,Mild Mocha,Fair
Carlotta Chocolat,Cesar,1888,2016,65.0,Colombia,3.5,6,Colombia,Mild Mocha,Fair
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72.0,USA,4.0,2,Belize,Moderate Blend,Excellent
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72.0,USA,3.5,2,Honduras,Moderate Blend,Fair
Castronovo,"Duarte, Batch 360",1570,2015,70.0,USA,3.75,4,Dominican Republic,Moderate Blend,Fair
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72.0,USA,3.5,6,Venezuela,Moderate Blend,Fair
Castronovo,Sierra Nevada,1347,2014,72.0,USA,3.5,4,Colombia,Moderate Blend,Fair
Castronovo,Arauca,1371,2014,76.0,USA,3.5,4,Colombia,Moderate Blend,Fair
Castronovo,Elvesia P.,1407,2014,70.0,USA,2.75,2,Dominican Republic,Moderate Blend,Fair
Castronovo,Bolivia,1101,2013,70.0,USA,3.0,2,Bolivia,Moderate Blend,Fair
Castronovo,Conacado,1101,2013,73.0,USA,3.5,2,Dominican Republic,Moderate Blend,Fair
Castronovo,San Martin,1105,2013,70.0,USA,2.5,1,Peru,Moderate Blend,Fair
Castronovo,"Guaniamo, Amazonas",1105,2013,70.0,USA,3.25,6,Venezuela,Moderate Blend,Fair
Castronovo,Nicaragua,1109,2013,72.0,USA,3.25,2,Nicaragua,Moderate Blend,Fair
Castronovo,Tumbes,1153,2013,70.0,USA,2.75,1,Peru,Moderate Blend,Fair
Castronovo,Guaniamo,1153,2013,72.0,USA,3.0,6,Venezuela,Moderate Blend,Fair
Cello,Ecuador,1247,2014,70.0,USA,2.5,6,Ecuador,Moderate Blend,Fair
Cello,Peru,1247,2014,70.0,USA,2.75,6,Peru,Moderate Blend,Fair
Cello,Venezuela,1251,2014,70.0,USA,2.75,6,Venezuela,Moderate Blend,Fair
Cello,Bolivia,1251,2014,70.0,USA,3.0,6,Bolivia,Moderate Blend,Fair
Cemoi,Equateur,404,2009,72.0,France,2.75,6,Ecuador,Moderate Blend,Fair
Chaleur B,Uganda,1426,2014,70.0,Canada,2.75,3,Uganda,Moderate Blend,Fair
Charm School,Maya Mtn,1900,2016,70.0,USA,3.25,6,Belize,Moderate Blend,Fair
Chchukululu (Tulicorp),Arriba,486,2010,55.0,Ecuador,2.75,3,Ecuador,Mild Mocha,Fair
Chchukululu (Tulicorp),Los Rios,252,2008,75.0,Ecuador,3.0,3,Ecuador,Moderate Blend,Fair
Chequessett,la Amistad,1235,2014,70.0,USA,3.5,6,Costa Rica,Moderate Blend,Fair
Chloe Chocolat,Blend No. 1,672,2011,70.0,France,3.5,6,Unkown,Moderate Blend,Fair
Chocablog,Ecuador,1454,2015,70.0,U.K.,3.25,6,Ecuador,Moderate Blend,Fair
Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75.0,Germany,3.0,2,Belize,Moderate Blend,Fair
Choco Del Sol,Maya Mountain,1407,2014,82.0,Germany,3.25,2,Belize,Deep Dark,Fair
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70.0,South Korea,2.75,2,Vietnam,Moderate Blend,Fair
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70.0,South Korea,3.5,2,Malaysia,Moderate Blend,Fair
Chocolarder,Peru,1482,2015,65.0,U.K.,2.5,1,Peru,Mild Mocha,Fair
Chocolarder,Peru + nibs,1482,2015,65.0,U.K.,2.75,1,Peru,Mild Mocha,Fair
Chocolarder,Dominican Republic,1514,2015,80.0,U.K.,2.5,6,Dominican Republic,Moderate Blend,Fair
Chocola'te,Madagascar,647,2011,70.0,USA,3.75,2,Madagascar,Moderate Blend,Fair
Chocola'te,Venezuela,647,2011,68.0,USA,3.75,6,Venezuela,Mild Mocha,Fair
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90.0,USA,2.5,6,Peru,Deep Dark,Fair
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80.0,USA,2.5,6,Unkown,Moderate Blend,Fair
Chocolate Con Amor,Wild Bolivian,1760,2016,70.0,USA,2.5,6,Bolivia,Moderate Blend,Fair
Chocolate Con Amor,Uganda,1760,2016,70.0,USA,2.75,6,Uganda,Moderate Blend,Fair
Chocolate Con Amor,Dominican Republic,1764,2016,60.0,USA,3.0,6,Dominican Republic,Mild Mocha,Fair
Chocolate Con Amor,Dominican Republic,1764,2016,75.0,USA,3.0,6,Dominican Republic,Moderate Blend,Fair
Chocolate Con Amor,Ocumare,1764,2016,80.0,USA,3.0,1,Venezuela,Moderate Blend,Fair
Chocolate Con Amor,Ecuador,1764,2016,70.0,USA,3.25,6,Ecuador,Moderate Blend,Fair
Chocolate Con Amor,Nicaragua,1768,2016,80.0,USA,2.75,6,Nicaragua,Moderate Blend,Fair
Chocolate Conspiracy,Peru,1259,2014,74.0,USA,2.75,6,Peru,Moderate Blend,Fair
Chocolate Makers,Tres Hombres,1530,2015,75.0,Amsterdam,3.25,2,Dominican Republic,Moderate Blend,Fair
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68.0,Amsterdam,3.5,3,Congo,Mild Mocha,Fair
Chocolate Makers,"Peru, Awagum bar",1530,2015,80.0,Amsterdam,3.75,1,Peru,Moderate Blend,Fair
"Chocolate Tree, The",Maranon,1582,2015,69.0,Scotland,3.75,3,Peru,Mild Mocha,Fair
"Chocolate Tree, The",Carenero Superior,1582,2015,80.0,Scotland,3.75,2,Venezuela,Moderate Blend,Fair
"Chocolate Tree, The",Peru,1121,2013,70.0,Scotland,3.75,3,Peru,Moderate Blend,Fair
"Chocolate Tree, The",Ecuador,919,2012,82.0,Scotland,2.5,3,Ecuador,Deep Dark,Fair
"Chocolate Tree, The",Peru,919,2012,68.0,Scotland,2.75,1,Peru,Mild Mocha,Fair
"Chocolate Tree, The",Madagascar,919,2012,72.0,Scotland,3.25,1,Madagascar,Moderate Blend,Fair
Chocolats Privilege,Xoconusco,1219,2014,70.0,Canada,2.5,1,Mexico,Moderate Blend,Fair
ChocoReko,Patanemo,1454,2015,77.0,Japan,3.0,1,Venezuela,Moderate Blend,Fair
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65.0,Canada,3.25,6,Mexico,Mild Mocha,Fair
Chocovic,Xoconusco,478,2010,71.0,Spain,3.25,1,Mexico,Moderate Blend,Fair
Chocovic,Sambirano,478,2010,71.0,Spain,3.5,2,Madagascar,Moderate Blend,Fair
Chocovic,Kendari,439,2009,60.0,Spain,3.25,6,Unkown,Mild Mocha,Fair
Chocovic,Tarakan,439,2009,75.0,Spain,3.25,6,Unkown,Moderate Blend,Fair
Chocovic,Ocumare,209,2008,71.0,Spain,3.5,1,Venezuela,Moderate Blend,Fair
Chocovic,"Bolivar, Guaranda",117,2007,71.0,Spain,2.5,3,Ecuador,Moderate Blend,Fair
Chocovic,Guyave,117,2007,71.0,Spain,2.5,2,Grenada,Moderate Blend,Fair
Chocovic,Maragda,117,2007,70.0,Spain,3.0,4,Unkown,Moderate Blend,Fair
Chocovivo,Tabasco,1522,2015,65.0,USA,2.5,2,Mexico,Mild Mocha,Fair
Chocovivo,Tabasco,1522,2015,75.0,USA,2.5,2,Mexico,Moderate Blend,Fair
Choklat,Ocumare,377,2009,80.0,Canada,2.5,1,Venezuela,Moderate Blend,Fair
Choklat,"Porcelana, Tabasco",377,2009,70.0,Canada,2.75,1,Mexico,Moderate Blend,Fair
Choklat,Brazilian,377,2009,70.0,Canada,3.0,6,Brazil,Moderate Blend,Fair
Choklat,Brazilian,377,2009,80.0,Canada,3.0,6,Brazil,Moderate Blend,Fair
Choklat,Ocumare,377,2009,70.0,Canada,3.0,1,Venezuela,Moderate Blend,Fair
Chokolat Elot (Girard),Guadeloupe,1149,2013,42.0,Martinique,2.75,6,Martinique,Mild Mocha,Fair
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75.0,Canada,3.25,6,Mexico,Moderate Blend,Fair
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68.0,Canada,3.75,3,Peru,Mild Mocha,Fair
Chuao Chocolatier,Choroni,445,2009,61.0,USA,3.0,1,Venezuela,Mild Mocha,Fair
Chuao Chocolatier (Pralus),Chuao,486,2010,77.0,USA,2.75,2,Venezuela,Moderate Blend,Fair
Claudio Corallo,Terreiro Velho P.,470,2010,73.5,Sao Tome,3.75,3,Sao Tome & Principe,Moderate Blend,Fair
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80.0,Sao Tome,3.0,3,Sao Tome & Principe,Moderate Blend,Fair
Claudio Corallo,Terreiro Velho P.,227,2008,75.0,Sao Tome,4.0,3,Sao Tome & Principe,Moderate Blend,Excellent
Claudio Corallo,Principe,252,2008,100.0,Sao Tome,1.0,3,Sao Tome & Principe,Deep Dark,Poor
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73.0,USA,3.5,6,Ecuador,Moderate Blend,Fair
Coleman & Davis,Sambirano,1646,2015,75.0,USA,3.0,2,Madagascar,Moderate Blend,Fair
Compania de Chocolate (Salgado),Sur del Lago,579,2010,70.0,Argentina,3.25,6,Venezuela,Moderate Blend,Fair
Compania de Chocolate (Salgado),Carenero Superior,292,2008,80.0,Argentina,2.75,2,Venezuela,Moderate Blend,Fair
Compania de Chocolate (Salgado),Moxos,292,2008,72.0,Argentina,3.25,6,Bolivia,Moderate Blend,Fair
Compania de Chocolate (Salgado),Ocumare,292,2008,70.0,Argentina,3.75,1,Venezuela,Moderate Blend,Fair
Compania de Chocolate (Salgado),Esmeraldas,296,2008,88.0,Argentina,2.75,3,Ecuador,Deep Dark,Fair
Condor,Camino Verde,1630,2015,76.0,USA,3.5,6,Ecuador,Moderate Blend,Fair
Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,78.0,USA,2.75,2,Vietnam,Moderate Blend,Fair
Coppeneur,"Ecuador, Puristique",1169,2013,65.0,Germany,3.25,3,Ecuador,Mild Mocha,Fair
Coppeneur,Ghana Puristique,813,2012,85.0,Germany,3.5,3,Ghana,Deep Dark,Fair
Coppeneur,Ecuador Puristique,817,2012,100.0,Germany,1.5,6,Ecuador,Deep Dark,Poor
Coppeneur,Uba Budo,821,2012,72.0,Germany,3.75,3,Sao Tome & Principe,Moderate Blend,Fair
Coppeneur,Madagascar,959,2012,70.0,Germany,3.5,2,Madagascar,Moderate Blend,Fair
Coppeneur,Grenada,470,2010,72.0,Germany,3.25,2,Grenada,Moderate Blend,Fair
Coppeneur,Chuao,478,2010,70.0,Germany,3.0,2,Venezuela,Moderate Blend,Fair
Coppeneur,"Los Rios, H. Iara",558,2010,72.0,Germany,2.5,6,Ecuador,Moderate Blend,Fair
Coppeneur,Trinidad,558,2010,72.0,Germany,3.0,2,Trinidad,Moderate Blend,Fair
Coppeneur,Jamaica,558,2010,72.0,Germany,3.25,2,Jamaica,Moderate Blend,Fair
Coppeneur,Ocumare 61,558,2010,72.0,Germany,3.25,1,Venezuela,Moderate Blend,Fair
Coppeneur,"Porcelana, Apotequil",341,2009,72.0,Germany,3.0,1,Peru,Moderate Blend,Fair
Coppeneur,"Porcelana, Apotequil",445,2009,62.0,Germany,3.25,1,Peru,Mild Mocha,Fair
Coppeneur,Chuao 100hr,451,2009,70.0,Germany,3.5,4,Venezuela,Moderate Blend,Fair
Coppeneur,Chuao 70hr,451,2009,70.0,Germany,3.75,4,Venezuela,Moderate Blend,Fair
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72.0,Germany,3.0,1,Mexico,Moderate Blend,Fair
Coppeneur,"Porcelana, Venezuela",220,2008,72.0,Germany,3.0,1,Venezuela,Moderate Blend,Fair
Coppeneur,"Sambirano, Menava P.",196,2007,72.0,Germany,3.0,2,Madagascar,Moderate Blend,Fair
Cote d' Or (Kraft),Sensations Intense,48,2006,70.0,Belgium,1.0,6,Unkown,Moderate Blend,Poor
Cravve,New Ireland,1283,2014,70.0,Australia,2.5,3,Papua New Guinea,Moderate Blend,Fair
Cravve,"Vanuatu, batch 2410",1335,2014,83.0,Australia,2.75,2,Vanuatu,Deep Dark,Fair
Cravve,"Tanzania, batch a1",971,2012,75.0,Australia,3.25,3,Tanzania,Moderate Blend,Fair
Cravve,"Bahia, batch a1213",975,2012,65.0,Australia,3.25,2,Brazil,Mild Mocha,Fair
Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,67.0,Australia,3.25,2,Fiji,Mild Mocha,Fair
Cravve,Vanuatu,975,2012,64.0,Australia,3.25,2,Vanuatu,Mild Mocha,Fair
Cravve,Djual Island,975,2012,75.0,Australia,3.5,3,Papua New Guinea,Moderate Blend,Fair
Creo,"""heirloom"", Arriba Nacional",1736,2016,85.0,USA,3.25,3,Ecuador,Deep Dark,Fair
Creo,"""heirloom"", Arriba Nacional",1736,2016,73.0,USA,3.75,3,Ecuador,Moderate Blend,Fair
Daintree,Goodman Estate,1654,2015,70.0,Australia,2.75,6,Australia,Moderate Blend,Fair
Daintree,"Daintree Estates, N. Queensland",785,2011,70.0,Australia,3.25,6,Australia,Moderate Blend,Fair
Dalloway,"Dominican Republic, batch 7",1928,2017,72.0,USA,2.75,6,Dominican Republic,Moderate Blend,Fair
Damson,Robson Estate,1610,2015,70.0,U.K.,3.0,2,Trinidad,Moderate Blend,Fair
Damson,Los Rios,1610,2015,70.0,U.K.,3.5,6,Ecuador,Moderate Blend,Fair
Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70.0,U.K.,2.25,6,Grenada,Moderate Blend,Poor
Damson,O'Payo,1666,2015,70.0,U.K.,2.75,6,Nicaragua,Moderate Blend,Fair
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70.0,USA,3.75,6,Unkown,Moderate Blend,Fair
Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,70.0,USA,3.0,2,Belize,Moderate Blend,Fair
Dandelion,Maya Mountain,1219,2014,70.0,USA,3.5,2,Belize,Moderate Blend,Fair
Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70.0,USA,3.5,6,Ecuador,Moderate Blend,Fair
Dandelion,Buto,1303,2014,70.0,USA,2.75,6,Liberia,Moderate Blend,Fair
Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70.0,USA,3.75,6,Dominican Republic,Moderate Blend,Fair
Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,70.0,USA,2.75,6,Venezuela,Moderate Blend,Fair
Dandelion,Patanemo,1026,2013,70.0,USA,3.25,6,Venezuela,Moderate Blend,Fair
Dandelion,"Mantuano, 2012",1085,2013,70.0,USA,3.5,6,Venezuela,Moderate Blend,Fair
Dandelion,Papua New Guinea,1153,2013,70.0,USA,3.5,6,Papua New Guinea,Moderate Blend,Fair
Dandelion,Upala,805,2012,70.0,USA,3.0,6,Costa Rica,Moderate Blend,Fair
Dandelion,Colombian,805,2012,70.0,USA,3.25,6,Colombia,Moderate Blend,Fair
Dandelion,"Elvesia, 2011",915,2012,70.0,USA,3.75,6,Dominican Republic,Moderate Blend,Fair
Dandelion,Dominican Republic,654,2011,70.0,USA,3.25,6,Dominican Republic,Moderate Blend,Fair
Dandelion,Madagascar,654,2011,70.0,USA,3.25,2,Madagascar,Moderate Blend,Fair
Dandelion,Tanzania,654,2011,70.0,USA,3.25,6,Tanzania,Moderate Blend,Fair
Danta,Los Ujuxtes,1223,2014,82.0,Guatemala,3.25,6,Guatemala,Deep Dark,Fair
Danta,Chuao,987,2012,75.0,Guatemala,3.0,2,Venezuela,Moderate Blend,Fair
Danta,Los Ujuxtes,987,2012,70.0,Guatemala,3.75,6,Guatemala,Moderate Blend,Fair
Danta,Sambirano,987,2012,70.0,Guatemala,3.75,2,Madagascar,Moderate Blend,Fair
Danta,Las Acacias E.,987,2012,70.0,Guatemala,4.0,1,Guatemala,Moderate Blend,Excellent
Danta,"Oscuro, Finca Chimelb",991,2012,70.0,Guatemala,3.25,6,Guatemala,Moderate Blend,Fair
Danta,Los Ujuxtes,661,2011,60.0,Guatemala,3.5,6,Guatemala,Mild Mocha,Fair
Danta,Las Acacias E.,423,2009,75.0,Guatemala,3.0,1,Guatemala,Moderate Blend,Fair
Danta,Las Acacias E.,423,2009,60.0,Guatemala,3.25,1,Guatemala,Mild Mocha,Fair
DAR,"Venezuela, batch 122",1920,2016,72.0,USA,2.75,6,Venezuela,Moderate Blend,Fair
DAR,Vietnam,1920,2016,72.0,USA,3.0,2,Vietnam,Moderate Blend,Fair
DAR,"DUO, batch 002",1920,2016,70.0,USA,3.25,6,"Ecuador, Costa Rica",Moderate Blend,Fair
Dark Forest,Bolivia,1708,2016,75.0,USA,3.25,6,Bolivia,Moderate Blend,Fair
Dark Forest,Madagascar,1550,2015,70.0,USA,3.0,2,Madagascar,Moderate Blend,Fair
Dark Forest,Ocumare,1550,2015,70.0,USA,3.25,6,Venezuela,Moderate Blend,Fair
Dark Forest,Tanzania,1554,2015,70.0,USA,3.0,6,Tanzania,Moderate Blend,Fair
Dark Forest,Ecuador,1554,2015,70.0,USA,3.25,6,Ecuador,Moderate Blend,Fair
